order_id,tracking,declared_weight,carrier_total,outvio_estimate,factura,servicio,destino,billed_weight,weight_check,billed_portes,importe,scope,zone_or_country,expected_portes,diff,verdict,note,fuel_period,billed_fuel,expected_fuel,fuel_verdict,fuel_diff,cost_diff
ES26019156,4426917,13.05,7.34,4.63,72531,*B2C,BAR,13.05,ok,6.45,7.34,national,area_bcn/corto/medio/largo,6.45,0.0,OK,,2026-04-13..2026-04-19,0.49,0.49,OK,0.0,0.0
ES26019674,4458707,,3.98,2.96,72531,*B2C,MAN,3.42,no-declared,3.7,3.98,national,area_bcn/corto/medio/largo,3.70,0.0,OK,,2026-04-13..2026-04-19,0.28,0.28,OK,0.0,0.0
Z97X-2604-172391,4237237,,10.26,8.83,72531,CLS,DE,0.499,no-declared,8.25,10.26,international,ALEMANIA,8.25,0.0,OK,,2026-04-06..2026-04-12,1.61,1.61,OK,0.0,0.0
Z97X-2604-172393,4237661,,10.26,8.83,72531,CLS,DE,1.0,no-declared,8.25,10.26,international,ALEMANIA,8.25,0.0,OK,,2026-04-06..2026-04-12,1.61,1.61,OK,0.0,0.0
ES26022527,4739208,0.19,11.76,10.31,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-27..2026-05-03,1.89,1.89,OK,0.0,0.0
ES26022533,4739449,0.26,11.76,10.31,72531,CLS,IT,1.058,STRAY-HIGH,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-27..2026-05-03,1.89,1.89,OK,0.0,0.0
ES26022609,4750945,0.5,11.76,10.31,72531,CLS,IT,1.06,STRAY-HIGH,9.47,11.76,international,ITALIA,9.47,0.0,OK,,2026-04-27..2026-05-03,1.89,1.89,OK,0.0,0.0
ES26022783,4769262,1.0,7.34,7.32,72531,*B2C,MLL,1.0,ok,5.81,7.34,national,baleares,5.81,0.0,OK,,2026-04-27..2026-05-03,0.48,0.48,OK,0.0,0.0
ES26016695,4159958,,10.75,9.27,72531,CLS,IT,0.137,no-declared,8.66,10.75,international,ITALIA,8.66,0.0,OK,,2026-03-30..2026-04-05,1.69,1.69,OK,0.0,0.0
ES26016876,4166585,0.46,10.75,9.27,72531,CLS,IT,0.99,STRAY-HIGH,8.66,10.75,international,ITALIA,8.66,0.0,OK,,2026-03-30..2026-04-05,1.69,1.69,OK,0.0,0.0
ES26016916,4169363,,10.75,9.27,72531,CLS,IT,0.524,no-declared,8.66,10.75,international,ITALIA,8.66,0.0,OK,,2026-03-30..2026-04-05,1.69,1.69,OK,0.0,0.0
Z97X-2604-172390,4237061,,10.75,9.27,72531,CLS,IT,0.4,no-declared,8.66,10.75,international,ITALIA,8.66,0.0,OK,,2026-04-06..2026-04-12,1.69,1.69,OK,0.0,0.0
Z97X-2604-172395,4237799,,10.75,9.27,72531,CLS,IT,1.0,no-declared,8.66,10.75,international,ITALIA,8.66,0.0,OK,,2026-04-06..2026-04-12,1.69,1.69,OK,0.0,0.0
ES26022893,4780937,1.15,8.21,8.27,72531,*B2C,MLL,1.881,STRAY-HIGH,6.56,8.21,national,baleares,6.56,0.0,OK,,2026-04-27..2026-05-03,0.55,0.55,OK,0.0,0.0
ES26022352,4712280,0.36,11.33,9.82,72531,CLS,BE,1.97,STRAY-HIGH,8.9,11.33,international,BELGICA,8.90,0.0,OK,,2026-04-27..2026-05-03,1.78,1.78,OK,0.0,0.0
ES26019746,4462499,,7.12,2.96,72531,*B2C,GRA,0.1,no-declared,3.39,7.12,national,area_bcn/corto/medio/largo,3.39,0.0,OK,,2026-04-13..2026-04-19,0.48,0.48,OK,0.0,0.0
ES26019928,4478073,4.21,4.69,4.0,72531,*B2C,CAD,4.96,ok,4.36,4.69,national,area_bcn/corto/medio/largo,4.36,0.0,OK,,2026-04-13..2026-04-19,0.33,0.33,OK,0.0,0.0
ES26016878,4166634,1.96,11.72,10.13,72531,CLS,IT,1.6,ok,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-03-30..2026-04-05,1.85,1.85,OK,0.0,0.0
ES26016917,4169434,1.56,11.72,10.13,72531,CLS,IT,1.2,ok,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-03-30..2026-04-05,1.85,1.85,OK,0.0,0.0
ES26018185,4334082,1.0,4.66,3.47,72531,*B2C,LIS,1.642,STRAY-HIGH,3.71,4.66,national,portugal,3.71,0.0,OK,,2026-04-06..2026-04-12,0.29,0.29,OK,0.0,0.0
ES26016447,9813968,1.13,11.32,10.13,51824,CLS,IT,1.909,STRAY-HIGH,9.47,11.72,international,ITALIA,9.47,0.0,OK,,2026-03-30..2026-04-05,1.85,1.85,OK,0.0,0.0
ES26018540,4366180,1.0,4.16,2.96,72531,*B2C,GER,1.428,ok,3.64,4.16,national,area_bcn/corto/medio/largo,3.64,0.0,OK,,2026-04-13..2026-04-19,0.27,0.28,OK,-0.01,-0.01
ES26019044,4411580,1.0,4.16,2.96,72531,*B2C,JAE,1.642,STRAY-HIGH,3.64,4.16,national,area_bcn/corto/medio/largo,3.64,0.0,OK,,2026-04-13..2026-04-19,0.27,0.28,OK,-0.01,-0.01
ES26019394,4440653,,4.16,2.96,72531,*B2C,JAE,1.588,no-declared,3.64,4.16,national,area_bcn/corto/medio/largo,3.64,0.0,OK,,2026-04-13..2026-04-19,0.27,0.28,OK,-0.01,-0.01
ES26017965,4326551,,4.17,2.96,72531,*B2C,VAL,1.596,no-declared,3.64,4.17,national,area_bcn/corto/medio/largo,3.64,0.0,OK,,2026-04-06..2026-04-12,0.28,0.28,OK,0.0,0.0
ES26018514,4365351,3.49,4.23,3.02,72531,*B2C,BAR,4.83,ok,3.93,4.23,national,area_bcn/corto/medio/largo,3.93,0.0,OK,,2026-04-13..2026-04-19,0.3,0.30,OK,0.0,0.0
ES26018804,4399068,2.2,5.23,3.22,72531,*B2C,MAD,5.861,STRAY-HIGH,4.68,5.23,national,area_bcn/corto/medio/largo,4.68,0.0,OK,,2026-04-13..2026-04-19,0.35,0.35,OK,0.0,0.0
ES26019011,4408318,,4.17,2.96,72531,*B2C,MAD,2.15,no-declared,3.88,4.17,national,area_bcn/corto/medio/largo,3.88,0.0,OK,,2026-04-13..2026-04-19,0.29,0.29,OK,0.0,0.0
ES26019013,4408341,,4.17,2.96,72531,*B2C,LOG,2.2,no-declared,3.88,4.17,national,area_bcn/corto/medio/largo,3.88,0.0,OK,,2026-04-13..2026-04-19,0.29,0.29,OK,0.0,0.0
ES26019014,4408369,,4.17,2.96,72531,*B2C,MAD,2.2,no-declared,3.88,4.17,national,area_bcn/corto/medio/largo,3.88,0.0,OK,,2026-04-13..2026-04-19,0.29,0.29,OK,0.0,0.0
ES26019015,4408444,,4.17,2.96,72531,*B2C,CAC,2.2,no-declared,3.88,4.17,national,area_bcn/corto/medio/largo,3.88,0.0,OK,,2026-04-13..2026-04-19,0.29,0.29,OK,0.0,0.0
ES26019019,4409102,,4.17,2.96,72531,*B2C,GRA,2.25,no-declared,3.88,4.17,national,area_bcn/corto/medio/largo,3.88,0.0,OK,,2026-04-13..2026-04-19,0.29,0.29,OK,0.0,0.0
ES26019026,4409382,,4.17,2.96,72531,*B2C,LUG,2.2,no-declared,3.88,4.17,national,area_bcn/corto/medio/largo,3.88,0.0,OK,,2026-04-13..2026-04-19,0.29,0.29,OK,0.0,0.0
ES26019446,4443931,3.47,4.23,3.02,72531,*B2C,MAN,5.0,ok,3.93,4.23,national,area_bcn/corto/medio/largo,3.93,0.0,OK,,2026-04-13..2026-04-19,0.3,0.30,OK,0.0,0.0
ES26019734,4461871,,4.17,2.96,72531,*B2C,TAR,2.05,no-declared,3.88,4.17,national,area_bcn/corto/medio/largo,3.88,0.0,OK,,2026-04-13..2026-04-19,0.29,0.29,OK,0.0,0.0
ES26017591,4287099,0.62,11.97,10.35,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.97,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017594,4287290,0.36,11.97,10.35,72531,CLS,IT,1.129,STRAY-HIGH,9.47,11.97,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017597,4287411,0.2,11.97,10.35,72531,CLS,IT,1.169,STRAY-HIGH,9.47,11.97,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017598,4287422,0.13,11.97,10.35,72531,CLS,IT,1.06,STRAY-HIGH,9.47,11.97,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26017754,4304869,1.0,11.97,10.35,72531,CLS,IT,1.075,ok,9.47,11.97,international,ITALIA,9.47,0.0,OK,,2026-04-06..2026-04-12,1.85,1.85,OK,0.0,0.0
ES26022438,4733312,,4.96,4.27,72531,*B2C,TAR,3.35,no-declared,4.12,4.96,national,area_bcn/corto/medio/largo,4.12,0.0,OK,,2026-04-27..2026-05-03,0.34,0.34,OK,0.0,0.0
ES26016755,4161394,1.14,4.42,3.17,72531,*B2C,TAR,1.596,ok,3.64,4.42,national,area_bcn/corto/medio/largo,3.64,0.0,OK,,2026-03-30..2026-04-05,0.28,0.28,OK,0.0,0.0
