ID del pedido,Seguimiento courier,Fecha de envío,Tarifa base,Peso facturable,Peso original,Contra reembolso (COD),Dimensión,Combustible,Paquetes,Seguro,Zona remota,Corrección de dirección,Derechos de exportación,Otros,Total mensajería,Total original,Fecha de recogida,Fecha de entrega,Días en tránsito,Días en tránsito (SLA),Razón,Sobrecargo total,Total esperado (checker),Sobrecargo (checker),Veredicto (checker),Razón (checker)
ES26019156,4426917,21.05.2026,4.33,13.05,13.05,0,0,0.0,0.3,0,0,0,0,0.0,7.34,4.63,15.04.2026,16.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other,0.01,7.34,0.0,OK,
ES26019674,4458707,21.05.2026,2.96,3.42,0.1,0,0,0.0,0.0,0,0,0,0,0.0,3.98,2.96,16.04.2026,17.04.2026,1,1,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.02,3.98,0.0,OK,
Z97X-2604-172391,4237237,04.07.2026,8.25,0.5,-,0,0,0.58,0.0,0,0,0,0,0.0,10.26,8.83,08.04.2026,13.04.2026,5,4,Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.03,10.26,0.0,OK,
Z97X-2604-172393,4237661,04.07.2026,8.25,1.0,-,0,0,0.58,0.0,0,0,0,0,0.0,10.26,8.83,07.04.2026,09.04.2026,2,4,Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.03,10.26,0.0,OK,
ES26022527,4739208,21.05.2026,8.66,1.13,0.19,0,0,1.65,0.0,0,0,0,0,0.0,11.76,10.31,29.04.2026,05.05.2026,6,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.05,11.76,0.0,OK,Peso
ES26022533,4739449,21.05.2026,8.66,1.06,0.26,0,0,1.65,0.0,0,0,0,0,0.0,11.76,10.31,29.04.2026,05.05.2026,6,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.05,11.76,0.0,OK,Peso
ES26022609,4750945,21.05.2026,8.66,1.06,0.5,0,0,1.65,0.0,0,0,0,0,0.0,11.76,10.31,29.04.2026,04.05.2026,5,4,Rate; Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.05,11.76,0.0,OK,Peso
ES26022783,4769262,21.05.2026,5.81,1.0,1,0,0,1.51,0.0,0,0,0,0,0.0,7.34,7.32,30.04.2026,11.05.2026,11,2,Dimensions; Parcels; Other,0.05,7.34,0.0,OK,
ES26016695,4159958,04.01.2026,8.66,0.14,0.1,0,0,0.61,0.0,0,0,0,0,0.0,10.75,9.27,01.04.2026,07.04.2026,6,4,Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.08,10.75,0.0,OK,
ES26016876,4166585,04.01.2026,8.66,0.99,0.46,0,0,0.61,0.0,0,0,0,0,0.0,10.75,9.27,02.04.2026,08.04.2026,7,4,Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.08,10.75,0.0,OK,Peso
ES26016916,4169363,04.01.2026,8.66,0.52,0.06,0,0,0.61,0.0,0,0,0,0,0.0,10.75,9.27,01.04.2026,07.04.2026,6,4,Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.08,10.75,0.0,OK,
Z97X-2604-172390,4237061,04.07.2026,8.66,0.4,-,0,0,0.61,0.0,0,0,0,0,0.0,10.75,9.27,08.04.2026,13.04.2026,5,4,Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.08,10.75,0.0,OK,
Z97X-2604-172395,4237799,04.07.2026,8.66,1.0,-,0,0,0.61,0.0,0,0,0,0,0.0,10.75,9.27,07.04.2026,21.05.2026,0,4,Fuel; Dimensions; Parcels; Other; ShipmentWeight,0.08,10.75,0.0,OK,
ES26022893,4780937,21.05.2026,6.56,1.88,1.15,0,0,1.71,0.0,0,0,0,0,0.0,8.21,8.27,30.04.2026,02.05.2026,2,2,Dimensions; Parcels; Other; ShipmentWeight,0.1,8.21,0.0,OK,Peso
