carrier,invoice_id,invoice_date,shipment_id,posting_date,customer_ref,service_raw,service_class,bultos_count,weight_kg,origin_country,destination_country,base_cost,fuel_surcharge,other_surcharges,total_net,currency,año,mes,source_file
seur,30492,2021-10-31,5279364,2021-10-01,21163166,,parcel,1,0.4,ES,,,,0.0,-0.52,EUR,2021,10,2021-10.parquet
seur,30492,2021-10-31,5300257,2021-10-01,21166539,,parcel,1,9.01,ES,,,,0.0,-0.69,EUR,2021,10,2021-10.parquet
seur,30494,2021-10-31,5303823,2021-10-01,48031,,parcel,1,5.6000000000000005,ES,,,,0.0,-0.56,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,5466448,2021-10-01,916066846149,,parcel,1,23.44,ES,,,,0.0,-0.37,EUR,2021,10,2021-10.parquet
seur,30492,2021-10-31,583423,2021-10-01,,,parcel,5,25.56,ES,,,,0.0,-1.24,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,661527,2021-10-01,830000530224,,parcel,1,21.507,ES,,,,0.0,-1.02,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426692,2021-10-01,21166917,,parcel,1,6.3500000000000005,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426693,2021-10-01,21166836,,parcel,1,264.528,ES,,,,0.0,-10.39,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426694,2021-10-01,21013843,,parcel,2,8.55,ES,,,,0.0,-0.6900000000000001,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426695,2021-10-01,21166942,,parcel,1,0.5,ES,,,,0.0,-0.58,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426696,2021-10-01,21166825,,parcel,1,5.835,ES,,,,0.0,-0.26,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426697,2021-10-01,21166884,,parcel,2,10.1,ES,,,,0.0,-0.77,EUR,2021,10,2021-10.parquet
seur,30490,2021-10-31,7426698,2021-10-01,21166820,,parcel,1,3.74,ES,,,,0.0,-0.62,EUR,2021,10,2021-10.parquet
